Id,SalePrice
1461,132394.173048
1462,131856.756534
1463,193321.497512
1464,197842.867028
1465,181002.03961
1466,188525.451438
1467,180813.31308
1468,174197.265977
1469,196750.495807
1470,130371.188287
1471,198782.918876
1472,102919.568995
1473,109914.960394
1474,154535.34055
1475,115274.239461
1476,400410.029492
1477,252611.540689
1478,251673.27328
1479,291256.878621
1480,490472.022668
1481,312671.443794
1482,214870.372026
1483,180188.149445
1484,155261.830815
1485,187546.981505
1486,191396.667126
1487,370109.717128
1488,212618.431732
1489,207819.078174
1490,243801.118208
1491,200717.717242
1492,88522.6660402
1493,205044.321113
1494,312914.612053
1495,268325.329326
1496,281294.418098
1497,180661.505536
1498,179869.994154
1499,170456.869373
1500,168675.831209
1501,175181.974244
1502,168703.787958
1503,325981.887253
1504,243384.068741
1505,231581.039094
1506,187436.252802
1507,259200.783093
1508,195302.228128
1509,171876.463053
1510,138677.217768
1511,146425.531833
1512,178202.243736
1513,142068.339208
1514,158972.354094
1515,197344.512928
1516,144933.517554
1517,165100.699616
1518,117140.448283
1519,234678.937394
1520,147269.583735
1521,146560.727132
1522,167988.635001
1523,113758.439985
1524,125763.287113
1525,125112.202438
1526,112776.61172
1527,127845.151611
1528,140319.778679
1529,157573.894553
1530,176520.278986
1531,115047.52258
1532,92674.5991342
1533,139932.129429
1534,132619.081744
1535,148708.921222
1536,114178.760596
1537,44360.7655633
1538,172395.783498
1539,213075.269714
1540,109813.983258
1541,136526.14445
1542,142378.930104
1543,221059.149708
1544,85305.611907
1545,121371.652508
1546,138716.531143
1547,150452.838523
1548,135899.256937
1549,127808.057781
1550,142935.647673
1551,100523.129101
1552,124059.896329
1553,155557.681824
1554,128798.441745
1555,158859.582559
1556,88486.3070557
1557,110839.167448
1558,114813.539542
1559,76582.9323196
1560,128037.899365
1561,131040.655703
1562,125772.778345
1563,123307.930893
1564,173944.511036
1565,151749.528592
1566,250100.618026
1567,82039.0584092
1568,221564.262542
1569,126129.693957
1570,140469.135434
1571,119902.933173
1572,148378.259914
1573,272463.250854
1574,93423.2883578
1575,228254.308118
1576,250723.630882
1577,192944.991346
1578,154287.02204
1579,157842.532852
1580,193144.462355
1581,155464.546277
1582,141911.479598
1583,294877.352911
1584,213764.129756
1585,149360.898404
1586,70244.917323
1587,107700.444011
1588,163564.263408
1589,103518.358478
1590,134936.651476
1591,89978.2109908
1592,139520.010661
1593,143108.444571
1594,164357.871036
1595,80422.9677705
1596,213402.401978
1597,188122.296361
1598,207018.405369
1599,173676.56314
1600,155337.084729
1601,45618.1460315
1602,126129.938773
1603,74694.3897389
1604,305566.361467
1605,235267.639078
1606,156126.849148
1607,149119.434068
1608,208119.499309
1609,179316.214112
1610,170740.409315
1611,130334.821077
1612,172219.695924
1613,169978.341904
1614,132585.017848
1615,96430.2096023
1616,70099.0908626
1617,91437.2366195
1618,130854.837903
1619,157347.178045
1620,178200.573611
1621,152082.993377
1622,142099.769085
1623,290951.358578
1624,216842.433019
1625,131690.444582
1626,159005.782212
1627,192333.125018
1628,297039.295395
1629,188004.26877
1630,428210.317206
1631,216251.642428
1632,251750.934375
1633,176977.979495
1634,190167.409816
1635,182890.682219
1636,160072.902585
1637,195918.885711
1638,185795.12375
1639,178856.888353
1640,227194.960578
1641,165616.947443
1642,262355.676294
1643,226193.66734
1644,236329.460574
1645,219612.592455
1646,164358.353967
1647,146910.460365
1648,123456.982469
1649,147925.602528
1650,137689.855158
1651,120007.565898
1652,97077.1614112
1653,108157.169648
1654,153747.236516
1655,142844.432265
1656,145734.658275
1657,154110.409167
1658,151417.483728
1659,122533.893663
1660,145786.413835
1661,446662.363464
1662,395055.516009
1663,344749.078641
1664,518769.425082
1665,264656.506025
1666,332770.464419
1667,386679.843448
1668,371780.276155
1669,300463.603929
1670,329442.237093
1671,265031.581041
1672,463858.881787
1673,294693.056924
1674,246209.220279
1675,187193.876536
1676,200853.232633
1677,213719.343307
1678,512020.969714
1679,407386.184173
1680,363489.251657
1681,213412.164461
1682,321101.776
1683,185460.827568
1684,179758.171011
1685,171632.544461
1686,167127.631296
1687,171981.57772
1688,194447.710368
