,variable,relative_importance,scaled_importance,percentage
0,BsmtExposure.No,1.0,1.0,0.00389024102633
1,SaleType.WD,0.966315507889,0.966315507889,0.00375920023317
2,Neighborhood.NAmes,0.960190236568,0.960190236568,0.00373537145138
3,Condition1.Norm,0.925628840923,0.925628840923,0.00360091929212
4,SaleType.ConLw,0.925073266029,0.925073266029,0.00359875797187
5,Exterior1st.AsphShn,0.920896649361,0.920896649361,0.00358250992636
6,RoofMatl.CompShg,0.917688906193,0.917688906193,0.00357003103228
7,FireplaceQu.NA,0.915486693382,0.915486693382,0.00356146389366
8,GarageQual.TA,0.914566278458,0.914566278458,0.00355788325776
9,Exterior1st.BrkFace,0.913872241974,0.913872241974,0.00355518328855
10,HouseStyle.2.5Unf,0.911908626556,0.911908626556,0.0035475443513
11,PoolQC.NA,0.910869956017,0.910869956017,0.00354350367255
12,LotShape.Reg,0.9105052948,0.9105052948,0.00354208505252
13,OverallQual,0.908646047115,0.908646047115,0.0035348521309
14,Neighborhood.NridgHt,0.908226311207,0.908226311207,0.00353321925705
15,PavedDrive.Y,0.907329261303,0.907329261303,0.00352972951671
16,Fence.MnWw,0.906778991222,0.906778991222,0.00352758883347
17,BsmtCond.TA,0.906096756458,0.906096756458,0.0035249347758
18,Neighborhood.Blueste,0.902763843536,0.902763843536,0.00351196894122
19,SaleCondition.Normal,0.901126623154,0.901126623154,0.00350559975931
20,Exterior2nd.BrkFace,0.899250209332,0.899250209332,0.00349830005728
21,BsmtQual.Ex,0.898874342442,0.898874342442,0.00349683784449
22,MiscFeature.Gar2,0.8984618783,0.8984618783,0.00349523325956
23,MasVnrType.Stone,0.897955656052,0.897955656052,0.003493263933
24,Neighborhood.Timber,0.896085083485,0.896085083485,0.00348598695486
25,KitchenQual.Gd,0.895867466927,0.895867466927,0.003485140374
26,SaleCondition.AdjLand,0.895861625671,0.895861625671,0.00348511765011
27,Exterior2nd.CmentBd,0.894491195679,0.894491195679,0.00347978634712
28,YrSold,0.892672359943,0.892672359943,0.00347271063773
29,PavedDrive.N,0.892454206944,0.892454206944,0.00347186196998
