,variable,relative_importance,scaled_importance,percentage
0,Utilities.AllPub,1.0,1.0,0.00378026220462
1,Condition2.Norm,0.987103462219,0.987103462219,0.00373150991028
2,SaleType.WD,0.956356465816,0.956356465816,0.00361527820187
3,GarageType.Detchd,0.947800040245,0.947800040245,0.00358293266968
4,ExterQual.Fa,0.947487294674,0.947487294674,0.00358175040942
5,SaleCondition.Normal,0.944835305214,0.944835305214,0.00357172519389
6,Exterior2nd.CBlock,0.941045761108,0.941045761108,0.00355739972354
7,Functional.Min1,0.940207004547,0.940207004547,0.00355422900381
8,GarageType.CarPort,0.940010249615,0.940010249615,0.00355348521858
9,SaleCondition.Alloca,0.938598930836,0.938598930836,0.00354815006354
10,GarageType.Attchd,0.937980413437,0.937980413437,0.00354581190559
11,Exterior1st.MetalSd,0.936775326729,0.936775326729,0.00354125636186
12,MasVnrType.BrkFace,0.934005916119,0.934005916119,0.0035307872636
13,LandContour.Low,0.931568384171,0.931568384171,0.0035215727537
14,Foundation.CBlock,0.930772960186,0.930772960186,0.00351856584248
15,Neighborhood.CollgCr,0.9289265275,0.9289265275,0.00351158584278
16,PoolQC.Ex,0.927642822266,0.927642822266,0.0035067331004
17,Neighborhood.NoRidge,0.927270948887,0.927270948887,0.00350532732152
18,RoofMatl.CompShg,0.926159799099,0.926159799099,0.00350112688398
19,Neighborhood.OldTown,0.925912380219,0.925912380219,0.00350019157573
20,ExterQual.TA,0.922111332417,0.922111332417,0.00348582261839
21,Exterior1st.CemntBd,0.922026634216,0.922026634216,0.00348550243698
22,Condition1.RRNe,0.921169638634,0.921169638634,0.00348226276897
23,Condition2.RRAe,0.919979035854,0.919979035854,0.00347776197829
24,BsmtQual.Fa,0.918298780918,0.918298780918,0.00347141017406
25,BsmtFinType2.Unf,0.917038798332,0.917038798332,0.00346664710951
26,BsmtExposure.Gd,0.9170165658,0.9170165658,0.00346656306471
27,HouseStyle.2.5Fin,0.915582478046,0.915582478046,0.00346114183697
28,BldgType.TwnhsE,0.915556073189,0.915556073189,0.00346104201969
29,Electrical.Mix,0.914125084877,0.914125084877,0.00345563250866
30,RoofStyle.Shed,0.913317084312,0.913317084312,0.00345257805466
31,RoofStyle.Gable,0.912838220596,0.912838220596,0.00345076782426
32,CentralAir.Y,0.912740528584,0.912740528584,0.00345039852283
33,Fireplaces,0.912458777428,0.912458777428,0.00344933342959
34,LotConfig.Inside,0.910692691803,0.910692691803,0.00344265716285
35,Alley.Grvl,0.910540163517,0.910540163517,0.00344208056594
36,Condition2.RRAn,0.909488141537,0.909488141537,0.003438103647
37,KitchenQual.Gd,0.909442722797,0.909442722797,0.00343793195226
38,Foundation.Slab,0.909073829651,0.909073829651,0.00343653743944
39,Neighborhood.Crawfor,0.908862531185,0.908862531185,0.00343573867584
40,BsmtExposure.Av,0.908437788486,0.908437788486,0.00343413303707
41,OverallCond,0.907924056053,0.907924056053,0.00343219099377
42,KitchenQual.TA,0.906583368778,0.906583368778,0.00342712284433
43,PoolQC.NA,0.906394600868,0.906394600868,0.00342640925214
44,GrLivArea,0.906003773212,0.906003773212,0.00342493182112
45,Heating.GasA,0.905590593815,0.905590593815,0.00342336989466
46,Fence.MnWw,0.904957056046,0.904957056046,0.00342097495578
47,Exterior1st.VinylSd,0.904339373112,0.904339373112,0.00341863995233
48,Functional.Typ,0.903942227364,0.903942227364,0.00341713863727
49,Neighborhood.StoneBr,0.903432011604,0.903432011604,0.00341520988791
50,SaleType.ConLI,0.903336763382,0.903336763382,0.00341484982466
51,Exterior2nd.Brk Cmn,0.903234183788,0.903234183788,0.0034144620469
