,variable,relative_importance,scaled_importance,percentage
0,KitchenQual.Ex,1.0,1.0,0.00374449384926
1,Condition1.Norm,0.99646872282,0.99646872282,0.00373127100358
2,LandContour.Lvl,0.983201265335,0.983201265335,0.00368159109064
3,Fence.NA,0.976050853729,0.976050853729,0.00365481641836
4,SaleCondition.Normal,0.964259147644,0.964259147644,0.00361066244745
5,SaleType.WD,0.960015654564,0.960015654564,0.00359477271371
6,Neighborhood.Crawfor,0.959751605988,0.959751605988,0.00359378398544
7,Exterior1st.Wd Sdng,0.958992958069,0.958992958069,0.00359094323298
8,Exterior2nd.Stone,0.956726253033,0.956726253033,0.00358245556991
9,Alley.NA,0.953198075294,0.953198075294,0.00356924433007
10,Street.Pave,0.952394723892,0.952394723892,0.00356623618569
11,OpenPorchSF,0.950591027737,0.950591027737,0.00355948225653
12,BldgType.1Fam,0.949418008327,0.949418008327,0.00355508989256
13,Neighborhood.StoneBr,0.948654353619,0.948654353619,0.0035522303922
14,Exterior1st.MetalSd,0.945448219776,0.945448219776,0.00354022504375
15,Exterior1st.BrkFace,0.941545128822,0.941545128822,0.00352560994368
16,ExterCond.TA,0.936487853527,0.936487853527,0.00350667300744
17,OverallQual,0.936309874058,0.936309874058,0.00350600656441
18,RoofMatl.Metal,0.935951828957,0.935951828957,0.00350466586674
19,ExterCond.Gd,0.934265553951,0.934265553951,0.00349835162035
20,LotConfig.Inside,0.934166133404,0.934166133404,0.00349797934072
21,Neighborhood.NridgHt,0.932856857777,0.932856857777,0.00349307676619
22,GarageQual.Fa,0.932525873184,0.932525873184,0.00349183739642
23,Neighborhood.Gilbert,0.930947840214,0.930947840214,0.00348592846167
24,GarageCond.Gd,0.929802179337,0.929802179337,0.00348163854156
25,BsmtExposure.No,0.92898529768,0.92898529768,0.00347857973322
26,BsmtFinType2.GLQ,0.927468061447,0.927468061447,0.00347289845148
27,Foundation.BrkTil,0.927222788334,0.927222788334,0.00347198002781
28,Electrical.SBrkr,0.926712095737,0.926712095737,0.00347006774253
29,Exterior1st.ImStucc,0.923476934433,0.923476934433,0.00345795370092
30,Heating.GasA,0.923267662525,0.923267662525,0.00345717008355
31,Foundation.CBlock,0.922277212143,0.922277212143,0.00345346134819
32,Exterior1st.Plywood,0.921507060528,0.921507060528,0.0034505775202
33,Condition2.PosN,0.921315670013,0.921315670013,0.0034498608596
34,Exterior1st.Stone,0.921113193035,0.921113193035,0.0034491026858
35,MSZoning.RH,0.920097589493,0.920097589493,0.00344529976458
36,GarageFinish.RFn,0.920070946217,0.920070946217,0.00344519999899
37,GarageQual.TA,0.919788360596,0.919788360596,0.00344414185888
38,GarageArea,0.919597148895,0.919597148895,0.00344342586784
39,BsmtFinType2.BLQ,0.919274151325,0.919274151325,0.00344221640542
40,GarageFinish.Fin,0.919262170792,0.919262170792,0.00344217154439
41,BsmtExposure.NA,0.919179260731,0.919179260731,0.00344186108818
42,LandSlope.Sev,0.918842077255,0.918842077255,0.00344059850673
43,Foundation.Wood,0.918189466,0.918189466,0.00343815480789
44,WoodDeckSF,0.918131172657,0.918131172657,0.00343793652883
45,SaleType.ConLD,0.916966497898,0.916966497898,0.00343357541136
46,YrSold,0.916966497898,0.916966497898,0.00343357541136
47,PavedDrive.Y,0.916767954826,0.916767954826,0.00343283196805
48,Exterior2nd.ImStucc,0.916184484959,0.916184484959,0.00343064716872
49,MSZoning.FV,0.914023458958,0.914023458958,0.00342255522015
50,ExterCond.Ex,0.913996458054,0.913996458054,0.00342245411543
51,Id,0.913503050804,0.913503050804,0.00342060655502
